Tweet Scraped,Username,Description,Location,Followinf Count,Followers Count,Total Tweets,Retweet Count,Tweet Text,Hashtags Used
66,SUNEELK54530158,,,80,4,193,0,@RivabaJadeja We support you,[]
67,King_kaffir,"Proud Sanatani... Perfect Kaffir....
Geopolitics... Interested on India...Pak..China
views and RTs personal",Dhivya Bhoomi,42,2,158,0,@BJP4India @RivabaJadeja @narendramodi fake account hai...MC BSDK,[]
72,NaimoddinMahmm1,Common man,Ahmedabad,561,757,81679,3,Thank you so much for amazing opinion poll @RivabaJadeja https://t.co/96NteD7lqn,[]
73,RivabaJadeja,(: ʍǝıʌ ɟo ʇuıod ʇuǝɹǝɟɟıp ɐ ɯoɹɟ ǝɟıן ʇɐ ʞooן oʇ pǝǝu n sǝɯıʇǝɯoS,,81,2365,1793,366,"India is using tech as a weapon in the war against poverty.

- PM Shri @narendramodi, Bengaluru Tech Summit https://t.co/UZk0qCxem2",[]
105,Anirudh65275794,"हे महाराणा प्रताप मुझे तु शक्ती दे, दुश्मन को मै भी हराऊंगा। मै हु तेरा एक अनुयायी, दुश्मन को मार भगाऊंगा। 🚩","Jamnagar, India",72,10,186,0,"Since #Shah_Banu was divorced by her Muslim husband, there was a need for #equal_civil_rights, if this law is implemented, many Muslim sons will benefit
@AmitShah
@narendramodi
@Pushpendraamu
@kajalHindustan1
@RivabaJadeja
@Bjpjamnagar
@WardJamnagar
https://t.co/7hFr6Mzx9i","['Shah_Banu', 'equal_civil_rights']"
110,GOHILDHAMBHA11,,jamnagar,335,255,15334,0,Vote for Bjp @imjadeja @BJP4Gujarat @RivabaJadeja https://t.co/WPbaEJTX2m,[]
114,autoworldmag,"Car lover, Bangalorean!","Bangalore, India",2461,882,243753,1,"#InPics | #RivabaJadeja-#RavindraJadeja's was arranged love at first sight: Cricketer received THIS car as a wedding gift

https://t.co/AW0FpvYpZv","['InPics', 'RivabaJadeja', 'RavindraJadeja']"
124,IF_U_MISS_I_HIT,"𝗪𝗲 𝗿 𝗜𝗻𝗱𝗶𝗮𝗻𝘀,𝗙𝗶𝗿𝘀𝘁𝗹𝘆 & 𝗟𝗮𝘀𝘁𝗹𝘆

मज़हब नहीं सिखाता,आपसमें बैर रखना।
हिन्दी हैं हम,वतन हिन्दोस्ताँ हमारा
सारे जहाँसे अच्छा,हिन्दोस्ताँ हमारा",🙏जय माता दी 🕉️ नमः शिवाय,86,120,9607,0,@mihirpatelaap @RivabaJadeja Fake Id,[]
126,amandeep256547,,,18,3,3184,3,"Nanad Vs Bhabhi: Can Congress' Naina Jadeja Help Defeat BJP's Rivaba Jadeja - https://t.co/6InolcDocI

#BJP #RivabaJadeja #NainaJadeja #JamnagarNorth #RavindraJadeja #Gujarat #AssemblyPolls #GujaratElection2022 #BJP #Congress #Rajkot #Jamnagar https://t.co/u7XySMg0Ct",['BJP']
131,Pawan_Pk_Freak,J A I   S H R E E  R A M   🧡,"Hyderabad, India",40,191,9020,5,"""She wants to follow path of PM Modi..."", says RavindraSinh Jadeja as wife Rivaba files nomination from Jamnagar. Congratulations... @imjadeja and #RivabaJadeja.
#GujaratElections2022 #PicOfTheDay https://t.co/5aFUFfZt8L",[]
134,Pawan_Pk_Freak,J A I   S H R E E  R A M   🧡,"Hyderabad, India",40,191,9020,14692,I support BJP.@narendramodi #rivabajadeja jai hind 🇮🇳 https://t.co/GXNz5o07yy,['rivabajadeja']
151,oneeight05,,planet ,725,297,22937,0,@i_m_prapti @Jamawat3 @RivabaJadeja Full 🔥🔥,[]
155,BuchHitakshi,"Crazy Single mom, Obsessed to not have love in life, Fine with ppl not around. 😄","Ahmadabad City, India",625,5728,18243,0,@i_m_prapti @Jamawat3 @RivabaJadeja There is no second thought… Rivaba,[]
156,i_m_prapti,"An Opinionated Woman || SOCIETY - Tackled and Conquered || Strong by Actions,Soft by Emotions|| Knocking at the Door of Independent Life ||",India,703,17274,139701,0,@oneeight05 @Jamawat3 @RivabaJadeja Let them get the results first,[]
157,oneeight05,,planet ,725,297,22937,0,@i_m_prapti @Jamawat3 @RivabaJadeja Fake account of rivaba,[]
164,Shubhendra965,,India,10,9,1655,14,"Ravindra Jadeja bats for his wife ahead of Jamnagar nomination

Read @ANI Story | https://t.co/5S9X4oToUR
#RAVINDRAJADEJA #Jamnagar #GujaratElections2022 #RivabaJadeja https://t.co/NsAb4fRNLR",['RAVINDRAJADEJA']
165,Observe_India,"Love 🇮🇳
Sports(Football ⚽️ most, ManU,Liverpool), Animals, Environment, Science,Progress)
Free speech & OS - Ubuntu
HR Professional
Tweets/RT not endorsements",Bangalore,2093,927,68015,1,"@ActivistSandeep She also considers @RivabaJadeja, her own sister in law from BJP as a WEAK candidate !",[]
166,Observe_India,"Love 🇮🇳
Sports(Football ⚽️ most, ManU,Liverpool), Animals, Environment, Science,Progress)
Free speech & OS - Ubuntu
HR Professional
Tweets/RT not endorsements",Bangalore,2093,927,68015,0,"Interesting. 
Seems like in the Right company.
Top Feku of India also in BJP.
@RivabaJadejaBJP @RivabaJadeja https://t.co/tuKhnzpGTz",[]
170,VikramBawarla,,,75,7,773,2,""" #RivabaJadeja wants to follow the path of PM Modi to work for the people,"" said Indian cricketer Ravindra Jadeja as he campaigned for his wife.
#GujaratElections2022 
https://t.co/LpmFPy8O9O",['RivabaJadeja']
181,NischalSanghavi,"Journalist, Ahmedabad Mirror",space,606,1314,8998,0,@RivabaJadeja &amp; @DivyeshAkbari_ files nomination from Jamnagar. @mpparimal encourages candidates by staying present at #Khambhaliya and #Jamnagar. The confidence of 1st Kshatriya Woman candidate is magnetic. Looking forward to her long innings like @imjadeja. My story today https://t.co/4IM08WIN6P,"['Khambhaliya', 'Jamnagar']"
183,lhrana27,lhrana27@gmail.com,jamnagar. Gujarat.india.,4736,793,2408,0,@BJP4Gujarat @RivabaJadeja Jamnagar wants ring road.,[]
184,Observe_India,"Love 🇮🇳
Sports(Football ⚽️ most, ManU,Liverpool), Animals, Environment, Science,Progress)
Free speech & OS - Ubuntu
HR Professional
Tweets/RT not endorsements",Bangalore,2093,927,68015,0,"@AnkitaGorAAP @Rivababjp @RivabaJadeja @Rivababjp Please try 2 understand what kind of Party you are Joining 🙏🙏🙏
The Rapists were Garlanded by BJP in Gijarat.
High No of Criminals in BJP. 🆘
363 sitting MLAs and MPs have criminal cases against them, BJP tops list with 83: ADR
https://t.co/ihtcTX68XA",[]
187,Twiter_ka_kaal,Rant .....🤬🤬,,446,81,1967,0,@Zee24Kalak @RivabaJadeja @imjadeja @brijdoshi @BJP4Gujarat Cricket lovers tum logo inhe banaya aur aaj yeh Modi kie. Chaat rahe hai .....u m@darch@d cricket fans s9cks,[]
190,SharadBharad,,,21,0,3,0,@RivabaJadeja Right 😀,[]
191,drcpm,"Laparoscopic surgeon, India 🇮🇳",,127,205,8079,0,Wishing all the very best to Mrs. @RivabaJadeja for the grand victory in 78-Jamnagar.💐🎉👍Was pleasure to meet her &amp; @imjadeja. They were polite &amp; humble. @PoonambenMaadam @BJP4Gujarat @mpparimal @NobatDaily @WeJamnagari @bjp4jamnagar @narendramodi @AmitShah #election https://t.co/8PYRHlw4RF,['election']
198,VAMPIRE17770498,"jamkandorana 
rajkot
360405
Bharatiy janata party",,241,6,3,0,@Rivababjp @RivabaJadeja only B.J.P bhabhi you can victory ✌,[]
199,CpSsinghRJ,"#advocate 🎀
I dedicate every moment to the society.❤️
High interest in #KabirBhajan !!","Jaisalmer, India",687,663,14168,0,"#our_pride🙏
@imjadeja 
#RivaBaJadeja 
#GujratElection2022
Jamnagar win https://t.co/ZP1FzTdMZ0","['our_pride', 'RivaBaJadeja', 'GujratElection2022']"
200,AdvJayendrasinh,,,1,0,4,0,@Rivababjp @RivabaJadeja BJP ONLY FOR ✌️,[]
208,Advckgandhi,"Advocate by profession, dont support any political party, thought's are my personal view.","Ahmadabad City, India",155,180,2472,0,early trends. @RivabaJadeja @imjadeja @Gopal_Italia @isudan_gadhvi @ArvindKejriwal https://t.co/LxkD78r1b5,[]
209,LSosiya,"Raajpoot_Boy
😎BANA😎
LIVE YOUNG , LIVE FREE
🚩भगवा मेरी जान🚩
🚩 हिन्दु राष्ट्र 🚩","Gujarat, India",32,36,121,0,Met @imjadeja humble and down to earth personality. Best wishes to Mrs. Jadeja @RivabaJadeja may you win the election with recordbreak votes. #GujaratElection2022 @PoonambenMaadam @BJP4Gujarat @CRPaatil @VijaysinhJethv8 https://t.co/DWmeTEgyXt,['GujaratElection2022']
213,mid_day,"All things #MadeinMumbai 
News | Entertainment | Sports and much more
Subscribe to #MiddayDigitalTabloid

https://t.co/v6kICsjrkn","Mumbai, India",169,686230,227698,0,"#MiddayNews |

#RavindraJadeja bats for his wife ahead of Jamnagar nomination

#RivabaJadeja 
 https://t.co/m2DzCxkVWl","['MiddayNews', 'RavindraJadeja', 'RivabaJadeja']"
217,AshokMo59020356,"यदा यदा हि धर्मस्य ग्लानिर्भवति भारत।
अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम् ।
परित्राणाय साधूनां विनाशाय च दुष्कृताम् ।
धर्मसंस्थापनार्थाय सम्भवामि युगे ।",,454,262,63097,6,"BREAKING : 

Cricketer Ravindra Jadeja and his wife and BJP leader Rivaba Jadeja attend an party event in Jamnagar. 

Picture Courtesy : ANI 

#RavindraJadeja #RivabaJadeja #GujaratElections https://t.co/dKsFvkYbv5",[]
220,rajudelhi123,"Journalist @indiatvnews / Ex-@IndiaAheadNews / @NewsNationTV / @NyooozIndia / @JagranEnglish / @TV100NewsTV100, Posts personal, Proud Indian, Dil se Bihari",India,998,457,14456,0,"Cricketer Ravindra Jadeja’s wife Rivaba contesting Gujarat elections; how cricketers played on political turf

Read #Cricket &amp; Political connection

#GujaratElections2022 #RavindraJadeja #RivaBaJadeja @rajusoni2012 @Raju_Pr4 @shalugupta14 

Read: https://t.co/PZs1qA6UzH","['Cricket', 'GujaratElections2022', 'RavindraJadeja', 'RivaBaJadeja']"
221,indiatvnews,India’s most watched Hindi News Channel. Follow for latest/breaking News Alerts from all over the Globe. FB:https://t.co/IJtJpoipue,India,29,2184263,681812,0,"Cricketer Ravindra Jadeja’s wife Rivaba contesting Gujarat elections; how cricketers played on political turf

#GujaratElections2022 #RavindraJadeja #RivaBaJadeja 
Read: https://t.co/MFGDS8YwY9","['GujaratElections2022', 'RavindraJadeja', 'RivaBaJadeja']"
238,dear_zindgi_143,learn from @anuragxcricket,,7,0,85,0,@imjadeja @RivabaJadeja @imjadeja best of luck....mam u will be next MLA don't worry about loss ...... #GujratElection2022,['GujratElection2022']
244,THEFREEMEDIA2K,"Without Fear or Favour!
 https://t.co/DLKe0yD7kQ",India,11,177,8674,0,"#Gujarat | Cricketer Ravindra Jadeja and his wife and BJP leader Rivaba Jadeja attend an event in Jamnagar that has been organised ahead of the filing of nomination for the upcoming #GujaratElections . 

@RivabaJadeja 
#RavindraJadeja #BJP #gujaratelections22  #Jamnagar #TFM https://t.co/bzD6JXZwCt","['Gujarat', 'GujaratElections', 'RavindraJadeja', 'BJP', 'gujaratelections22', 'Jamnagar', 'TFM']"
250,liya_kumar,"Positive_Thinker|Motivational_Speaker|Love_Your_Life।Conqueror_Of_Destiny|∆Sadharan_Karyakarta @RSSORG @BJP4INDIA #AtmanirbharBharat
💐🙏🕉",India,4663,1545,34539,1,"North #Jamnagar BJP candidate @RivabaJadeja files nomination for the #GujaratElections2022

#TV9News https://t.co/J5cSBd6Edb","['Jamnagar', 'GujaratElections2022', 'TV9News']"
252,NationalLover61,Save India 💪,,30,22,1405,0,@GujaratTak @imjadeja @RivabaJadeja Looser,[]
253,RivabaJadejaBJP,@BJP4Gujarat Candidate for Assembly Jamnagar North - Big fan of @imjadeja,India,11,559,606,2,"#GujaratAssemblyElections2022: #RavindraJadeja, Wife #RivabaJadeja Attend Event in #Jamnagar Ahead of Filing of Her Nomination Papers (See Pics)

@BJP4India @BJP4Gujarat

#AssemblyElections #JamnagarNorth #BJP #GujaratElections

https://t.co/HcDwghpBM8","['GujaratAssemblyElections2022', 'RavindraJadeja', 'RivabaJadeja', 'Jamnagar']"
263,fpjindia,"The voice of #Mumbai with heritage of more than 94 years. 
Get updates on latest news, and more 💁‍♀️",India,611,35464,341684,0,"Cricketer #RavindraJadeja and his wife and #BJP leader #RivabaJadeja attend an event in #Jamnagar that has been organised ahead of the filing of #nominations for the upcoming #GujaratElections 

📸ANI

#India #Gujarat #GujaratElection2022 #Politics https://t.co/a2gaOkxTiS","['RavindraJadeja', 'BJP', 'RivabaJadeja', 'Jamnagar', 'nominations', 'GujaratElections', 'India', 'Gujarat', 'GujaratElection2022', 'Politics']"
266,the_news_21,"News & views, regional & federal politics apart from foreign affairs, investigation. Founder & Editor-in-Chief @vivekbhavsar","Mumbai & Delhi, India",4377,1285,30917,0,"#Gujarat: #RavindraJadeja and his wife &amp; #BJP leader #RivabaJadeja attend an event in #Jamnagar that has been organised ahead of the filing of nomination for the upcoming #GujaratElections  

Rivaba Jadeja will contest from #JamnagarNorth &amp; file her nomination today.
@BJP4Gujarat https://t.co/BFS4DESATy","['Gujarat', 'RavindraJadeja', 'BJP', 'RivabaJadeja', 'Jamnagar', 'GujaratElections', 'JamnagarNorth']"
268,TOIAhmedabad,Your city. Your neighborhood. Your block. Covered for you by https://t.co/VSKi1mCAsZ,"Ahmadabad City, India",9,158166,102727,0,"Gujarat: Cricketer #RavindraJadeja and his wife and BJP leader #RivabaJadeja attend an event in Jamnagar that has been organised ahead of the filing of nomination for the upcoming #GujaratElections 
#RivabaJadeja will contest from #JamnagarNorth and file her nomination today.","['RavindraJadeja', 'RivabaJadeja', 'GujaratElections', 'RivabaJadeja', 'JamnagarNorth']"
286,urvashikhona,"HumanBeing! Assistant Editor @TheNewIndian_in covering PMO, BJP, MEA - EX @NewsX @IndiaNews_itv @SundayGuardian @IBN7 @TV9 TWEETS R PERSONAL; RT no endorsement!",Mumbai,2192,2931,12084,2,"#GujaratElection2022:  @imjadeja appealed to people of Jamnagar North to support his wife @RivabaJadeja, who was named ruling @BJP4Gujarat candidate from the constituency, ✍️@urvashikhona @TheNewIndian_in 

#news #GujaratElections #GujaratAssemblyPolls 

https://t.co/aOl9Yg5qfJ https://t.co/KKEBf0uJNm",['GujaratElection2022']
287,hindsanik,"Say proudly, We are HINDU & INDIAN",,34,10,25,0,"#RivabaJadeja
@imjadeja 
@RivabaJadeja 
Congratulations both of you
🙏🙏 https://t.co/GRMOrHGgLQ",['RivabaJadeja']
294,GOHILDHAMBHA11,,jamnagar,335,255,15334,0,Vote for Bjp @BJP4Gujarat @CRPaatil @RivabaJadeja https://t.co/FAGgcRMnzH,[]
295,RivabaJadejaBJP,@BJP4Gujarat Candidate for Assembly Jamnagar North - Big fan of @imjadeja,India,11,559,606,189,"Famous Cricketer @imjadeja 's  wife #RivabaJadeja gets a @BJP4Gujarat ticket from #jamnagar North for the #GujaratElection2022 
Congratulations &amp; Best Wishes for victory!
#RavindraJadeja
@Bhupendrapbjp 
@CRPaatil https://t.co/n9cSfC4EZ6","['RivabaJadeja', 'jamnagar']"
308,MilinDave4,,,57,2,12,0,@sunilpatel139 @imjadeja @RivabaJadeja Good one bapu,[]
341,dr_mehta,Radiologist.                                      Proud Gujarati.                              Believer of ‘live life king size’.                  Namo Fan.,"Surat, India",147,774,3524,0,"@imjadeja Is there any official handle on Twitter for #RivaBaJadeja ? If there is, so share the name. There are many fake going around.",['RivaBaJadeja']
358,DarshitJoshi_,Hindu Nationalist | Ayurveda Professional | Entrepreneur | Gujarati,"Bhanvad, DevBhumi Dwarka",176,761,27191,0,"@imjadeja Many Congratulations to #RivaBaJadeja 
#GJ10 #Jamnagar wishes all the best! Always in your support, team @Bjpjamnagar is also very good.","['RivaBaJadeja', 'GJ10', 'Jamnagar']"
387,Vivaanm1997,Athletes 🇮🇳🏆🥇🏅Want to play&win for my country,,155,2,13,9,"Indian all rounder #RavindraJadeja today thanked PM Narendra Modi and Home Minister Amit Shah for giving opportunity to his wife #RivabaJadeja to contest #GujaratAssemblyElections. 

https://t.co/inCH25rXtZ",['RavindraJadeja']
416,jigu_raval,"It’s YOU vs YOU, So Make sure YOU win 👍🏻","Gujarat, India",24,6,110,0,@sunilpatel139 @imjadeja @RivabaJadeja True Boss 👍🏻,[]
475,Shubham34138807,,,33,0,19,0,@rajeev_anand @sunilpatel139 @imjadeja @RivabaJadeja uski wife gyi hai wo nhi thoda bahot to support kr hi skta hai wo,[]
1,DrPrastogi72,,,670,870,50848,175,"Gujarat CM candidate of @AAPGujarat @isudan_gadhvi spoke to us about his vision for Gujarat, AAP's strategy to attract urban voters, Bilkis Bano, freebies and other election issues.
#GujaratElection2022 #Gujarat 
@CNBCTV18Live @CNBCTV18News @ShereenBhan @_prashantnair https://t.co/XRofdEA4ro",[]
2,koppik,"Wordsmith, investor, filmmaker, atheist, UG fan - all views personal! Volunteer - @UWCforYouth @aipcmaha @INCIndia",Mumbai,5001,2013,24781,59,"In 2007, @toi wasn't so sold out...

#GujaratElection2022 

Modi has broken so many promises.... https://t.co/9kbMg34wGp",['GujaratElection2022']
3,grg1202,Be Your Own Natural Friend...🌹💐🌹No DM pls.,India,1409,1169,140434,0,Election time booster dose for #HimachalPradeshelections2022 and #GujaratElection2022 https://t.co/rapDkviREj,"['HimachalPradeshelections2022', 'GujaratElection2022']"
4,NageshraoH,a mere nobody who nurses his innocent vanity by being an innocuous sciolist,,1209,930,147314,130,"I have an intuition that Congress is going to create history in upcoming #GujaratElection2022 

Not only BJP will be defeated but it will bite dust. It will be a crushing defeat for BJP. 

Hosh thikane aa jaayenge BJP ke.",['GujaratElection2022']
6,ritik_thakor,"नास्ति सत्यसमो धर्मः।
Indian🇮🇳","Ahmedabad , Gujarat",34,60,1640,569,"Liquor flows freely in ""Dry Gujarat""

#GujaratElection2022 

https://t.co/DP7PSkTBF2 https://t.co/lbX10j6C27",['GujaratElection2022']
8,masale_de,ਪੰਜਾਬ ਦੇ ਹੱਕਾਂ ਲਈ ਆਪਣੀ ਆਵਾਜ਼ ਬੁਲੰਦ ਕਰਨੀ,,11,2,638,10,"People have immense faith in PM Shri @NarendraModi ji's leadership.  This massive gathering in #Gujarat shows people's love towards him and their trust in #BJP's policies. 

@BJP4India #GujaratElection2022 https://t.co/mCp6cAroDe",['Gujarat']
13,mamlatdarmundr1,mamlatdar mundra-kachchh,,5,107,304,65,"Vadodara Run For Vote
Energetic and enthusiastic voters of Vadodara showed their commitment towards their right to #Vote.

4500+ citizens participated in the 3kms mini run
#GujaratElection2022 #Vadodara #AVSAR #Awareness #NoVoterTobeleftBehind #EveryVoteCounts #GoVote https://t.co/CfWg3QQVpZ",['Vote']
23,ModifidBhaaarat,"Fan of MODI JI.
Blessed to be followed by @nsitharamanoffc, @PiyushGoyalOffc,   @OfficeOf_MM, @MLekhiOffice, @Tarunvijay ji and @jitu_vaghani ji,",,9695,10096,733853,27,Campaigning for my daddy @AmitShah4BJP ! It’s our dream campaign. #AmitShahForEllisbridge #GujaratElection2022 https://t.co/bBeYwgdI54,"['AmitShahForEllisbridge', 'GujaratElection2022']"
24,indiatvnews,India’s most watched Hindi News Channel. Follow for latest/breaking News Alerts from all over the Globe. FB:https://t.co/IJtJpozswe,India,29,2188280,682965,0,"Gujarat Election 2022: Lady don's son Kandhal Jadeja says his 'name is enough to win polls'

#GujaratElection2022

https://t.co/NDFBie0obg",['GujaratElection2022']
27,RizwanAhmadAli4,Electrical Engineer,,31,5,489,405,Addressed a very successful public meeting in Danilimda constituency. #GujaratElection2022 https://t.co/SX6TzNaO1C,['GujaratElection2022']
29,BubnaNikunj,Deshbhakt  |  Startup Founder on a Mission to Unjunk Daily Consumption |  Conscious Consumer  |  Support Clean Politics,"Mumbai, India",1232,368,22770,206,"#Gujarat wants PARIVARTAN

Pollsters have missed AAP waves in Delhi and Punjab earlier. Now, Gujarat is ready to bring in #KejriwalModel

#GujaratElection2022 #AAPGujarat https://t.co/tTe080XMiP",['Gujarat']
37,GiveSSRJustice,SSR WAS Brutally murdered*.fight to get murderers arrested.FANaccount.SSRWARRIOR. follow backup please https://t.co/AVcDFTN8S3,india,2551,2704,36863,16,"It's not really elections till you do political interviews in the middle of the night! 

Stay tuned for detailed and analytical #GujaratElection2022 show stopper interview by Arnab on @republic @Republic_Bharat https://t.co/pAyQZON1gi",[]
48,NeerajK91481370,"NVR EVER IN LYF SHOULD BREAK
OTHERS HEART 4 THE SAKE OF UR
BENEFITS
B SINCERE N FAITHFUL 4 WAT U R","Haldwani,nainital",368,58,8143,7,"Only AAP 
#AamAadmiParty #ArvindKejriwal
#Gujarat #GujaratElection2022 #OnlyAAP #GujratWithKejriwal #GujratElection #election https://t.co/1tvIXSH1SV","['AamAadmiParty', 'ArvindKejriwal', 'Gujarat', 'GujaratElection2022', 'OnlyAAP', 'GujratWithKejriwal', 'GujratElection']"
51,SayedFaisalAli7,,,20,4,23,0,"Addressing a very success ful public meeting in Dani limda constituency 
@Gujaratelection2022
@asadowaisi 
@imtiaz_jaleel 
@warispathan https://t.co/qxhiZmDhm0",[]
54,SevadalVRS,Official Twitter Account Varanasi Congress Sevadal Uttar Pradesh. @CongressSevadal is Headed By The Chief Organiser Shri Lalji Desai. RTs Are Not Endorsements.,"Varanasi, India",102,730,69750,17,"Poster boy of 2002 Gujarat riots exposes the truth behind GJ Model

An eye-opener for misguided youth who think they're holy defenders of Hindutva.

#GujaratElection2022 https://t.co/s6g0d3cBGK",[]
60,archanaa2050,,,205,146,35,13,"Gujarat Calling 🙂
#GujaratElection2022 🙌 https://t.co/OAY9ZW796x",['GujaratElection2022']
67,permal66,"தமிழன், இந்தியன்.  
மனுதர்ம, சனாதன எதிர் குரல். Belongs to Dravidian stock.",Chennai,975,328,13658,9,"10. Who was the lawyer of Churchill Alemao accused of smuggling?
 - BJP member Ram Jethmalani!

 #Last_Question :
 Is there any fool who wants to learn patriotism from BJP?
#Gujarat_Boycott_BJP 
#GujaratElection2022 
#Fraud_BJP https://t.co/VJnO4C4tdj",['Last_Question']
69,SushilP07905911,,,17,24,2078,13,"I assure the people of #Gujarat that we will work tirelessly for the development of the state and its people. We will make #Gujarat a model state in terms of development and good governance. - @ArvindKejriwal 

#GujaratElections2022 #GujaratElection2022 #EkMokoKejriwalNe https://t.co/PCoZsrWY1L",['Gujarat']
71,Deo_Banaskantha,"Election Branch Collector Office Banaskantha,Palanpur",Palanpur,278,545,668,0,"A bike Rally by teachers of Danta AC as part of the Voter Awareness programme.
 @CEOGujarat
 #sveep #vote #voterawareness #gujaratelection2022 #avsar #avsarrath https://t.co/UaZDRGV0IR","['sveep', 'vote', 'voterawareness', 'gujaratelection2022', 'avsar', 'avsarrath']"
73,anotherananth,Faithful. Pessimist. Supply Chain. Distribution. Finance. Plants. Travel. Reading. Cooking. Indian Music.,"Ipoh, Malaysia",289,725,4679,31,"92 bridges are categorized as Danger for traveling!
And these BJP boasts about Gujarat Model!
#GujaratElection2022 https://t.co/9DpINM1Yg1",['GujaratElection2022']
75,kumar3282,No Words To Express Me & my choices 😎😋,"दिल्ली, भारत",103,18,2515,38,Now its time to  #Gujrat_Boycott_BJP #GujaratElection2022 https://t.co/JOIDrMv5gw,"['Gujrat_Boycott_BJP', 'GujaratElection2022']"
76,HemaFree,Journalist | blogger | Ex- Times Group | RT ≠ Endorsement |,India,114,57,9604,3,Cartoon #GujaratElection2022 #MCDElections2022 https://t.co/aMf4etkXH5,"['GujaratElection2022', 'MCDElections2022']"
82,NATUREISLIFE123,प्रकृतिवादी,"Gujarat, India",4986,553,3563,15,Gujarat asks that how much commission did the BJP Headquarters get in the contract for Morbi Pool from Oreva Company? #Gujrat_Boycott_BJP #GujaratElection2022 https://t.co/LTAdXjUHt7,[]
86,nation10rivers,"Bear truth, live truth",,588,676,108252,77,Have been traversing the length &amp; breadth of Gujarat in my election travel. Excellent roads makes you travel a  distance of 300 Km on  stretch. Villages are full of  enterprising success stories which leave an everlasting impact. The state is special!#GujaratElection2022,[]
102,sonutha11335937,,,469,37,1189,39,The strongest reply by @KapilMishra_IND  with an examples  to Kejriwal’s ek mauka thugai scheme in #GujaratElection2022 https://t.co/owuvSU7zfK,['GujaratElection2022']
116,ichiragpatelbjp,"State convener @BJP4Gujarat |
Social Activist",Gandhinagar,1221,4839,799,134,"Public enthusiasm in @BJP4Gujarat rallies is reassuring of yet another landslide victory of our party in #GujaratElection2022. 

Overwhelmed by the love and support shown by people during my campaign at Dhansura. https://t.co/yq7HRmpXll",[]
117,tomarravi37,,,24,9,1918,8,Now it's high time for the wise people of #Gujarat to get rid of a Proven distractor and Danka-pati.👍 #Gujrat_Boycott_BJP #MoodOfGujarat #GujaratElection2022 #GujaratElections2022 #GujaratElections #Gujarat https://t.co/gz68m2Qerg,"['Gujarat', 'Gujrat_Boycott_BJP']"
122,tomarravi37,,,24,9,1918,4,Gujarat asks that how much commission did the BJP Headquarters get in the contract for Morbi Pool from Oreva Company? #Gujrat_Boycott_BJP #GujaratElection2022 https://t.co/wK5TqkZGwz,[]
128,bharat546,"Bharat Patel - IAF Veteran, IT consultancy(UK), Nature lover, traveler.
NRI brand ambassador of BJP
Followed by @narendramodi","London, England",219,3645,33821,19,"Had an extensive discussion with the senior citizens of Dongripura village in Umreth Vidhan Sabha in Anand District on development initiatives and opportunities for future in the region. 

#GujaratElection2022 https://t.co/w1ag3VFBMJ",[]
129,santoshvnspatel,"PROUD STUDENT OF 🅰️🅰️🅿️ 🔥    

#ArvindKejriwalSchoolofPolitics

100% followback","Robertsganj, India",3364,3500,10299,30,"Day 12 
Journey started near #Kankariya #LAKE 

Vote for #Aap in #GujaratElection2022 https://t.co/DaN5ycG8n4","['Kankariya', 'LAKE', 'Aap', 'GujaratElection2022']"
133,padi7474,,"Bengaluru, India",720,284,16246,16,"PM @narendramodi to address rallies at Mehsana, Dahod, Vadodara and Bhavnagar in Gujarat

#GujaratElection2022 https://t.co/oZrslaBgaD",['GujaratElection2022']
138,sat_gollapudi,"Kar Sevak 1990,
Sunny Gavaskar fan
RTs not endorsements

#IndiaIsAHinduNation","Jamboo dweepe, Bharatavarshe, ",3682,3234,410243,1,"No impact of freebie promises.
'People laugh' - Amit Shah calls out AAPs Freebie Promises - Says no takers in Gujarat.
#GujaratElection2022 
#GujaratElections2022 
#Gujarat",[]
143,Praveen66984290,"sirf aur sirf Sanatani Aur Rastravaadi hi Follow kare..🚩🚩jay Shri Ram🚩🚩
    tweets nd views are personal",,853,1590,106140,30,"BREAKING:

Gujarat BJP suspends 12 more people for Anti-Party activities.

Madhu Srivastava, Dinumama, Mavji Desai. Labji Thakor &amp; Dhavalsingh Jhala have been suspended.
#GujaratElection2022 https://t.co/7bFjPC4VRo",[]
146,ITCellINLD,"Official Twitter Account of @ITCellINLD                

Indian National LokDal (@OfficialINLD)
@INLDSupremo @AbhaySChautala","Haryana, India ",91,969,7459,17,"Even a prisoner into heinous crime is roaming free in tihar jail under @ArvindKejriwal administration and giving massages to his corrupt minister.

Kejriwal called a pocso rape accused therapist,how much low will he go?

#PhysioTheRapist #KejriwalExposed #GujaratElection2022 https://t.co/mMoo4xWP6b",[]
150,hitty886,"#Congress #CBN
#Socialism #RaGa
Congress's ideology was great & is best way forward. RTs != endorsements #khattarhindu",,24,155,32441,67,"Congress leaders and voters who left Congress and joined or voted for AAP must listen to this.

#GujaratElection2022 #MCDElection #CongressAaveChe https://t.co/y8ojYCfSGt",['GujaratElection2022']
155,albypanakalam,A common man.,"Bengaluru, India",4344,755,442586,10,"Major reason for defeat in battle is considering ur opponent weak.

BJP will do same mistake and will lose #GujaratElections 

#OnlyAAP #EkMokoKejriwalNe #Gujarat_Boycott_BJP #GujaratElection2022",[]
