Tweet Scraped,Username,Description,Location,Followinf Count,Followers Count,Total Tweets,Retweet Count,Tweet Text,Hashtags Used
21,tv9gujarati,NO.1 GUJARATI NEWS CHANNEL. Follow us for breaking news and updates from Gujarat and India. For latest News Videos Subscribe https://t.co/KMXU8OdKK1,"Gujarat, India",62,882551,413361,1,"Know the entire schedule of #BJP's star campaigner PM @narendramodi in poll-bound state #Gujarat

#GujaratElection2022 #TV9News https://t.co/bVphySDvhV","['BJP', 'Gujarat', 'GujaratElection2022', 'TV9News']"
,Yashwant_Saroha,"Master's in Sociology🎓, Special Educator🤵🤗, Draughtsman Mechanical👨‍💼, #AAM_AADMI_PARTY
#Najafgarh Vidhansabha SM & IT Cell Vice President","Najafgarh, New Delhi",4848,6393,25137,16,Finally!! Chappal ki maala for #BJP #Gujarat candidate! Finally janta is showing its anger! Shamelessly the neta is putting on the garland of slippers also!! #GujaratElection2022 https://t.co/9oEI8UZ2UQ,"['BJP', 'Gujarat']"
22,RealFeedback4,,,64,23,3995,79,"The mood of Gujarat!!!
#GujaratElection2022 https://t.co/WXuqmEPpr3",['GujaratElection2022']
,HariyaneKaChora,Haryanvi… Love my culture & roots. Retweet does not mean endorsement. IT Engineer by profession… Namaskar 🙏,,656,1155,406371,34,"Breaking news: Kanchan Jariwala, the #AAP's Surat East candidate, has issued a statement saying, ""I withdrew my nomination on my own, there was no pressure from anyone."" People asked me throughout the campaign, ""Why did I join an anti-national party?""

#GujaratElection2022",['AAP']
23,MeenaDeshpand10,"Nehruvian. Gandhi follower. Staunch follower of Rahul, Sonia and Priyanka Gandhi Vadra",Union of India,2281,1762,95847,34,"Breaking news: Kanchan Jariwala, the #AAP's Surat East candidate, has issued a statement saying, ""I withdrew my nomination on my own, there was no pressure from anyone."" People asked me throughout the campaign, ""Why did I join an anti-national party?""

#GujaratElection2022",['AAP']
,ARORAPARAG,"Ex President OkhlaMandal,New Delhi BJP .Ex- Executive committee member South Delhi Zila BJP",,507,220,29654,79,"The mood of Gujarat!!!
#GujaratElection2022 https://t.co/WXuqmEPpr3",['GujaratElection2022']
24,anandhi_adi,Mom to the most awesome kid in the world,Puducherry,1779,2063,253196,66,"Nomination rally of Congress candidate Gulab Singh Rajput from Tharad constituency of Gujarat.

Congress is sweeping Gujarat this time.🔥

#GujaratElection2022 https://t.co/d87K2iFp0P",[]
,rahuldu77023690,राजा का बेटा राजा नहीं होगा जो काबिल होगा वही राजा होगा,"Kannauj, India",295,58,944,12,"Ravindra Jadeja's wife joins the BJP, and hare  is the reason: 🤣🤣

#RavindraJadeja #RivaBaJadeja #GujaratElections #GujaratElection2022 #GujaratAssemblyElection2022 https://t.co/yOJP22wUhb","['RavindraJadeja', 'RivaBaJadeja', 'GujaratElections']"
25,Ankushs95806319,"Proud To Be Worker At INC . 
Ex. Gen. Secy. NSUI ( H.P.) . 
Ex. Secy. HPYC.","Shimla, India",1331,1095,38939,66,"Nomination rally of Congress candidate Gulab Singh Rajput from Tharad constituency of Gujarat.

Congress is sweeping Gujarat this time.🔥

#GujaratElection2022 https://t.co/d87K2iFp0P",[]
,ManojKKarwasra,"#Mobilizer #Broadcaster #NationalSM District Incharge Najafgarh  #DELHISM

#Gandhi in my heart, #Ambedkar in mind And #BhagatSingh sits in the liver","Jaipur, Delhi ",5417,7727,79224,16,Finally!! Chappal ki maala for #BJP #Gujarat candidate! Finally janta is showing its anger! Shamelessly the neta is putting on the garland of slippers also!! #GujaratElection2022 https://t.co/9oEI8UZ2UQ,"['BJP', 'Gujarat']"
26,BholaRa80916905,"youngster, dog lover, learner , painter ,",,802,49,10805,2,"He added, there was a lot of pressure from the party. People were harassing me by calling again &amp; again. There was no one from BJP.

Why Arvind Kejriwal &amp; AAP members spread false information which was not happened?

Just for few seats in Gujarat?

2/n

#GujaratElection2022 https://t.co/JpIz74wgVn",[]
,Lokesh00021,,,83,7,1944,66,"Nomination rally of Congress candidate Gulab Singh Rajput from Tharad constituency of Gujarat.

Congress is sweeping Gujarat this time.🔥

#GujaratElection2022 https://t.co/d87K2iFp0P",[]
27,EncourageAAP,Supporter of AAP. I support them for bringing change in poor and voiceless people lives through their governance with nil corruption.,,1527,4118,701302,16,Finally!! Chappal ki maala for #BJP #Gujarat candidate! Finally janta is showing its anger! Shamelessly the neta is putting on the garland of slippers also!! #GujaratElection2022 https://t.co/9oEI8UZ2UQ,"['BJP', 'Gujarat']"
,SDchaudhary03,"जय श्री राम 🙏 
BJP supporter

 #AKSHAYKUMAR
 @akshaykumar 🌍
 #BMCM #HeraPheri3","Gujarat, India",50,228,10703,2,"Powerful people make pleces powerfull
@ChaudhryShankar sir tharad 
#GujaratElection2022 https://t.co/VJNuICBzvp",['GujaratElection2022']
28,sanju1000,"Worked at BiTV (TVI), Aaj Tak, India TV/Sr Editor, Rajya Sabha TV/Executive Producer, Swaraj Express/Executive Editor, Print/NBT, Hindustan/BGVS(NLM NGO).",New Delhi,1368,570,46613,27,"@INCIndia spokesperson Shri @ssrajputINC on #GujaratElection2022 the congress is focusing on peoples issues unlike The A,B,  teams of BJP doing Hindu- Muslim.
@INCGujarat 
Shri @Jairam_Ramesh 

#BharatJodoYatra https://t.co/0NQvlLZtR1",['GujaratElection2022']
,Mystic_Soul25,"Views personal. Likes, retweets & follows aren't endorsements. An educated & aware Indian woman interested in development for all",India,3528,5400,67524,16,Finally!! Chappal ki maala for #BJP #Gujarat candidate! Finally janta is showing its anger! Shamelessly the neta is putting on the garland of slippers also!! #GujaratElection2022 https://t.co/9oEI8UZ2UQ,"['BJP', 'Gujarat']"
29,tmbrijesh,Congressi & Man Utd fan,,1073,522,8989,72,"An emotional appeal from a Gujarati Mata Ji to @RahulGandhi Ji. 

#GujaratElection2022 https://t.co/KqWtbgeENS",['GujaratElection2022']
,spirifun,"love, humanity, freedom, logic.","New Delhi, India",3059,231,20410,84,"Can't stop laughing!! 🤣😂😂😂

Gujarat will not fall in his trap, but people of Delhi are suffering, and that's a sad reality!!

#GujaratElection2022 https://t.co/O3s6IGjtVQ",[]
30,Rahul49256784,,,1829,194,75475,34,"Breaking news: Kanchan Jariwala, the #AAP's Surat East candidate, has issued a statement saying, ""I withdrew my nomination on my own, there was no pressure from anyone."" People asked me throughout the campaign, ""Why did I join an anti-national party?""

#GujaratElection2022",['AAP']
,amtuktuk,"Limited edition!
सभी का खून है शामिल यहाँ की मिट्टी में, किसी के बाप का हिंदुस्तान थोड़ी है!
BLOCKED by pAAPiyans, @rishibagree, @aartitikoo",Ask Google!,1171,2309,38539,34,"Breaking news: Kanchan Jariwala, the #AAP's Surat East candidate, has issued a statement saying, ""I withdrew my nomination on my own, there was no pressure from anyone."" People asked me throughout the campaign, ""Why did I join an anti-national party?""

#GujaratElection2022",['AAP']
31,zhrashidi,"Observer, writer & commentator on Indian politics
Inspired by Mahatma Gandhi & Jawaharlal Nehru
Digital Yatri of #BharatJodoYatra
Intrested in Finance & Cricket","""Union of 🇮🇳""",94,1035,25690,34,"Breaking news: Kanchan Jariwala, the #AAP's Surat East candidate, has issued a statement saying, ""I withdrew my nomination on my own, there was no pressure from anyone."" People asked me throughout the campaign, ""Why did I join an anti-national party?""

#GujaratElection2022",['AAP']
,mahajansid,Lawyer,New Delhi/Himachal Pradesh ,3585,697,71247,34,"Breaking news: Kanchan Jariwala, the #AAP's Surat East candidate, has issued a statement saying, ""I withdrew my nomination on my own, there was no pressure from anyone."" People asked me throughout the campaign, ""Why did I join an anti-national party?""

#GujaratElection2022",['AAP']
32,IsrailQuereshi6,"""हमारी ताकत भारतीय संविधान""","Madhya Pradesh, India",1407,5056,96957,66,"Nomination rally of Congress candidate Gulab Singh Rajput from Tharad constituency of Gujarat.

Congress is sweeping Gujarat this time.🔥

#GujaratElection2022 https://t.co/d87K2iFp0P",[]
,NitinMahajan99,Journalist,New Delhi,913,2677,25495,6,"#PMModi will officially blow the campaign bugle for the #GujaratElection2022 on November 20, when he is scheduled to hold three public meetings in Saurashtra region | @pragyakaushika 

https://t.co/DUlVivkXKE https://t.co/AXq3MKhAnL","['PMModi', 'GujaratElection2022']"
33,rajusvin,,,304,581,277557,34,"Breaking news: Kanchan Jariwala, the #AAP's Surat East candidate, has issued a statement saying, ""I withdrew my nomination on my own, there was no pressure from anyone."" People asked me throughout the campaign, ""Why did I join an anti-national party?""

#GujaratElection2022",['AAP']
,Rahul49256784,,,1829,194,75475,72,"An emotional appeal from a Gujarati Mata Ji to @RahulGandhi Ji. 

#GujaratElection2022 https://t.co/KqWtbgeENS",['GujaratElection2022']
34,Kishore30th,,,235,179,23377,72,"An emotional appeal from a Gujarati Mata Ji to @RahulGandhi Ji. 

#GujaratElection2022 https://t.co/KqWtbgeENS",['GujaratElection2022']
,Naveen701,"#Nationlist, #ProudIndian,#ProundHindu,                            🙏Jai Shree Ram🙏                                                 ಕನ್ನಡಿಗ,ತುಳುವ #BJP #NamoFan","Mangalore, India",4885,5149,15152,84,"Can't stop laughing!! 🤣😂😂😂

Gujarat will not fall in his trap, but people of Delhi are suffering, and that's a sad reality!!

#GujaratElection2022 https://t.co/O3s6IGjtVQ",[]
35,inc_ricky,Parody /ಕನ್ನಡಿಗ / Secular / Bike Lover / 👟⚽️ 😍,Bengaluru ,2694,2807,214791,72,"An emotional appeal from a Gujarati Mata Ji to @RahulGandhi Ji. 

#GujaratElection2022 https://t.co/KqWtbgeENS",['GujaratElection2022']
,Ambal_Parody,जितने उडाओगे उतने नए बनेगे | हर हर महादेव 📿🔱 | Dogra Entrepreneur in Exile | Ex-HCLite | Ardent believer of Destiny | Zombie Slayer | PARODY,"Jammu, India",375,536,1127,0,"Dear Gujrati Brothers and Sisters, if you want to see #DelhiLiquorScam accused #ManishSisodia getting arrested after #GujaratElections then Vote for #BJP.

#GujaratElection2022 #GujaratElections","['DelhiLiquorScam', 'ManishSisodia', 'GujaratElections', 'BJP', 'GujaratElection2022', 'GujaratElections']"
36,KrSrv3,"Assistant Professor 
Personal Account",Jammu,139,23,500,117,"Alarming. Please do watch and share.
#GujaratElections2022 #GujaratElection2022 https://t.co/IUkzWvEJqL","['GujaratElections2022', 'GujaratElection2022']"
,saadat1954,,,1253,119,24519,0,@team_hyv #GujaratElection2022  only,['GujaratElection2022']
37,maheshvkadam,,Pune,1298,457,41803,72,"An emotional appeal from a Gujarati Mata Ji to @RahulGandhi Ji. 

#GujaratElection2022 https://t.co/KqWtbgeENS",['GujaratElection2022']
,VishalChanderd,Live and let live..,Sydney,17,4,538,0,@aruna_dk @narendramodi @narendramodi_in @PMOIndia @JPNadda @BJP4India But u need to be happy that it’s the right time this happened during Gujarat elections! #GujaratElection2022 ! Time for publicity! Heard that u guys r struggling there! All the best!,['GujaratElection2022']
38,ManojKu01856680,,,173,12,278,11,"@Jairam_Ramesh Gentle Reminder to you chamcha

Modi is not a feku master,
He is UKHADfeku master

That's why #Congress is just in 2 states n if you loose #HimachalPradeshElections &amp; #GujaratElection2022 then by 2024 we will witness #CongressMuktBharat 

That's why he is UKHADFEKU",['Congress']
,riomori20,,,131,26,171,84,"Can't stop laughing!! 🤣😂😂😂

Gujarat will not fall in his trap, but people of Delhi are suffering, and that's a sad reality!!

#GujaratElection2022 https://t.co/O3s6IGjtVQ",[]
39,Punam32141035,Congress supporter,,3167,1859,175525,72,"An emotional appeal from a Gujarati Mata Ji to @RahulGandhi Ji. 

#GujaratElection2022 https://t.co/KqWtbgeENS",['GujaratElection2022']
,Faarmy07,"Two Biggest Weapon Of Any Country to Save OutSide & Inside Threat..❤️💪 🇮🇳 
No place here for #Bollywood fans & Fake Stars.
History never lies..","Mumbai, India",19,15,2930,0,"He must be from #AAP... Color changes like #AapPolitician.. 

#BJP #Punjab #Delhi #Mumbai #Gujarat #GujaratElections #GujaratElection2022 #Gujju https://t.co/JBCgBezLQd","['AAP', 'AapPolitician', 'BJP', 'Punjab', 'Delhi', 'Mumbai', 'Gujarat', 'GujaratElections', 'GujaratElection2022', 'Gujju']"
40,PRABHUDASRATHW2,,,276,116,3134,12,"Ravindra Jadeja's wife joins the BJP, and hare  is the reason: 🤣🤣

#RavindraJadeja #RivaBaJadeja #GujaratElections #GujaratElection2022 #GujaratAssemblyElection2022 https://t.co/yOJP22wUhb","['RavindraJadeja', 'RivaBaJadeja', 'GujaratElections']"
,PRABHUDASRATHW2,,,276,116,3134,39,"BJP goons kidnapped AAP candidate! 

#BJPKidnapsAAPCandidate
#GujaratElection2022 
@Arun2981 @shubh_ind @apj234 @acbsm1997 @bhaktsgod https://t.co/cFBLjmSHmn","['BJPKidnapsAAPCandidate', 'GujaratElection2022']"
41,KESHAVS68558233,,,207,87,54761,7,"This is a detailed analysis of Shraddha Walker killer Aftab Ameen Poonawala by me. Please watch and share with others.
https://t.co/HTroQnbzn3

#MeraAbdulAisaNahiHai #DelhiMurder #GujaratElection2022 #LoveJihad #Shraddha #shraddhawalker #AftabAminPoonawala https://t.co/zIJTLMn8Ue",[]
,Iam_Ni3ji,Human,Mars,398,14,1473,84,"Can't stop laughing!! 🤣😂😂😂

Gujarat will not fall in his trap, but people of Delhi are suffering, and that's a sad reality!!

#GujaratElection2022 https://t.co/O3s6IGjtVQ",[]
42,Naushad71554228,"Life is precious don't spoils it. RG supporters. Secular, Gandhian, Love Humanity. Congressman!!! Aviation expert.",,2671,1863,78207,34,"Breaking news: Kanchan Jariwala, the #AAP's Surat East candidate, has issued a statement saying, ""I withdrew my nomination on my own, there was no pressure from anyone."" People asked me throughout the campaign, ""Why did I join an anti-national party?""

#GujaratElection2022",['AAP']
,NotOx15,नमो की दीवानी हूँ नमो की वजह से राजनीति में दिलचस्पी हुई नमो की वजह से ट्वीटर पर हूँ सारे जहान से एक हमारे पी॰एम॰ नमो,,270,182,2464,84,"Can't stop laughing!! 🤣😂😂😂

Gujarat will not fall in his trap, but people of Delhi are suffering, and that's a sad reality!!

#GujaratElection2022 https://t.co/O3s6IGjtVQ",[]
43,SevadalUPE,Official Account of East Uttar Pradesh Congress Sevadal @CongressSevadal is headed by the Chief Organiser Shri @LaljiDesaiG. RTs are not endorsements.,"Lucknow, India",108,5330,59103,27,"@INCIndia spokesperson Shri @ssrajputINC on #GujaratElection2022 the congress is focusing on peoples issues unlike The A,B,  teams of BJP doing Hindu- Muslim.
@INCGujarat 
Shri @Jairam_Ramesh 

#BharatJodoYatra https://t.co/0NQvlLZtR1",['GujaratElection2022']
,SevadalGBN,Official Account of Gautam Budhnagar Congress Sevadal Uttar Pradesh.@CongressSevadal is headed by the Chief Organiser Shri @LaljiDesaiG.RTs are not endorsement.,"Noida, India",141,878,31559,27,"@INCIndia spokesperson Shri @ssrajputINC on #GujaratElection2022 the congress is focusing on peoples issues unlike The A,B,  teams of BJP doing Hindu- Muslim.
@INCGujarat 
Shri @Jairam_Ramesh 

#BharatJodoYatra https://t.co/0NQvlLZtR1",['GujaratElection2022']
44,milanniium,,"India, Gujarat",150,120,5321,84,"Can't stop laughing!! 🤣😂😂😂

Gujarat will not fall in his trap, but people of Delhi are suffering, and that's a sad reality!!

#GujaratElection2022 https://t.co/O3s6IGjtVQ",[]
,vikasg_in,Software programmer.,,1719,519,9824,66,"Nomination rally of Congress candidate Gulab Singh Rajput from Tharad constituency of Gujarat.

Congress is sweeping Gujarat this time.🔥

#GujaratElection2022 https://t.co/d87K2iFp0P",[]
